cell_id,lon,lat,group,dist_km
"3392,-201",106.6637110481432,-6.3039275828447545,control,12.81
"3393,-201",106.69515208308128,-6.303927582846602,control,9.31
"3394,-201",106.72659311802984,-6.303927582851862,control,5.81
"3395,-201",106.75803415298078,-6.30392758285619,control,2.31
"3396,-201",106.7894751879113,-6.303927582855496,treated_13ruas,0.0
"3397,-201",106.82091622286868,-6.303927582852307,buffer_excluded,1.17
"3398,-201",106.85235725781236,-6.303927582852429,control,4.66
"3399,-201",106.8837982927495,-6.303927582850074,control,4.94
"3400,-201",106.91523932768672,-6.30392758284607,control,6.29
"3401,-201",106.94668036264176,-6.303927582850031,control,8.87
"3402,-201",106.97812139758636,-6.303927582854463,control,11.93
"3403,-201",107.00956243252593,-6.303927582852988,control,15.18
"3404,-201",107.041003467471,-6.303927582848845,control,18.52
"3392,-200",106.66371104814394,-6.27248654757006,control,12.82
"3393,-200",106.69515208307874,-6.272486547570008,control,9.32
"3394,-200",106.72659311803125,-6.272486547565906,control,5.83
"3395,-200",106.75803415298044,-6.272486547560578,control,2.33
"3396,-200",106.789475187915,-6.272486547557941,treated_13ruas,0.0
"3397,-200",106.82091622286474,-6.272486547561346,buffer_excluded,0.92
"3398,-200",106.85235725781104,-6.272486547566406,buffer_excluded,1.42
"3399,-200",106.88379829274888,-6.272486547570671,buffer_excluded,1.49
"3400,-200",106.91523932769265,-6.272486547569455,control,4.12
"3401,-200",106.9466803626392,-6.272486547562189,control,7.49
"3402,-200",106.9781213975862,-6.272486547560436,control,10.92
"3403,-200",107.00956243252848,-6.272486547559493,control,14.35
"3404,-200",107.04100346746948,-6.272486547562597,control,17.79
"3392,-199",106.66371104814694,-6.241045512241655,control,12.99
"3393,-199",106.69515208307992,-6.241045512237579,control,9.49
"3394,-199",106.72659311803297,-6.241045512238805,control,6.0
"3395,-199",106.75803415297769,-6.241045512245121,control,2.54
"3396,-199",106.78947518791524,-6.24104551225024,treated_13ruas,0.0
"3397,-199",106.8209162228601,-6.241045512251175,treated_13ruas,0.0
"3398,-199",106.85235725781408,-6.241045512247696,treated_13ruas,0.0
"3399,-199",106.88379829274726,-6.241045512242036,treated_13ruas,0.0
"3400,-199",106.9152393276953,-6.241045512242204,control,3.41
"3401,-199",106.94668036263974,-6.2410455122463,control,6.88
"3402,-199",106.97812139758436,-6.241045512249353,control,10.3
"3403,-199",107.0095624325293,-6.241045512251329,control,13.72
"3404,-199",107.04100346746736,-6.2410455122495065,control,17.15
"3392,-198",106.6637110481516,-6.209604476957307,control,12.65
"3393,-198",106.6951520830808,-6.209604476955906,control,9.19
"3394,-198",106.72659311803002,-6.209604476956727,control,5.79
"3395,-198",106.75803415297528,-6.209604476955706,control,2.53
"3396,-198",106.78947518791448,-6.209604476953728,treated_13ruas,0.0
"3397,-198",106.82091622286174,-6.209604476951959,treated_13ruas,0.0
"3398,-198",106.85235725781472,-6.2096044769531975,treated_new12,0.0
"3399,-198",106.883798292748,-6.209604476957487,treated_13ruas,0.0
"3400,-198",106.91523932769306,-6.209604476958812,control,2.74
"3401,-198",106.9466803626384,-6.209604476958268,control,6.18
"3402,-198",106.97812139758584,-6.209604476955082,control,9.66
"3403,-198",107.00956243252834,-6.209604476952584,control,13.15
"3404,-198",107.04100346747258,-6.209604476950191,control,16.64
"3392,-197",106.66371104815084,-6.178163441640167,control,12.53
"3393,-197",106.69515208308134,-6.178163441641792,control,9.03
"3394,-197",106.72659311803234,-6.178163441638146,control,5.53
"3395,-197",106.7580341529743,-6.178163441637853,control,2.03
"3396,-197",106.78947518791428,-6.178163441640972,treated_both,0.0
"3397,-197",106.82091622286624,-6.178163441638466,treated_both,0.0
"3398,-197",106.85235725780848,-6.178163441638952,treated_both,0.0
"3399,-197",106.88379829275358,-6.17816344163531,treated_both,0.0
"3400,-197",106.91523932768894,-6.178163441632539,control,2.62
"3401,-197",106.94668036263792,-6.1781634416376034,control,6.12
"3402,-197",106.97812139758926,-6.178163441637862,control,9.62
"3403,-197",107.0095624325295,-6.178163441635811,control,13.12
"3404,-197",107.04100346747371,-6.178163441635912,control,16.62
"3392,-196",106.6637110481496,-6.1467224063373145,control,12.65
"3393,-196",106.69515208308285,-6.146722406335421,control,9.2
"3394,-196",106.72659311803484,-6.146722406335101,control,5.8
"3395,-196",106.7580341529724,-6.146722406334769,control,2.67
"3396,-196",106.789475187913,-6.146722406334784,buffer_excluded,0.6
"3397,-196",106.82091622286936,-6.146722406335476,treated_both,0.0
"3398,-196",106.85235725780676,-6.146722406333603,treated_13ruas,0.0
"3399,-196",106.88379829275448,-6.146722406338067,control,2.62
"3400,-196",106.91523932768987,-6.146722406339003,control,3.71
"3401,-196",106.94668036263384,-6.14672240633703,control,6.66
"3402,-196",106.9781213975932,-6.146722406336883,control,9.97
"3403,-196",107.00956243252472,-6.14672240633974,control,13.38
"3404,-196",107.04100346747352,-6.146722406344559,control,16.82
"3392,-195",106.66371104814864,-6.115281371038463,control,13.58
"3393,-195",106.69515208308272,-6.115281371041398,control,10.44
"3394,-195",106.726593118033,-6.115281371043653,control,7.61
"3395,-195",106.75803415297462,-6.115281371043638,control,4.46
"3396,-195",106.78947518790883,-6.115281371045562,buffer_excluded,1.14
"3397,-195",106.82091622286742,-6.1152813710508935,buffer_excluded,0.69
"3398,-195",106.8523572578106,-6.115281371050875,buffer_excluded,1.08
"3399,-195",106.88379829274898,-6.115281371048068,control,4.03
"3400,-195",106.9152393276964,-6.115281371046135,control,6.66
"3401,-195",106.94668036263366,-6.115281371041855,control,8.66
"3402,-195",106.97812139759208,-6.115281371043323,control,11.4
"3403,-195",107.00956243252176,-6.115281371044527,control,14.48
"3404,-195",107.04100346747477,-6.115281371041437,control,17.71
"3392,-194",106.66371104814792,-6.083840335742917,control,15.27
"3393,-194",106.6951520830832,-6.083840335740266,control,12.15
"3394,-194",106.72659311803342,-6.083840335737153,control,8.94
"3395,-194",106.75803415297524,-6.083840335736143,control,6.08
"3396,-194",106.78947518791124,-6.083840335731244,control,4.29
"3397,-194",106.82091622286312,-6.083840335727771,control,4.19
"3398,-194",106.85235725781044,-6.083840335732169,control,4.52
"3399,-194",106.88379829275289,-6.083840335731276,control,5.96
"3400,-194",106.9152393276906,-6.083840335735117,control,8.67
"3401,-194",106.94668036264228,-6.083840335736627,control,11.4
"3402,-194",106.97812139758491,-6.083840335733704,control,13.61
"3403,-194",107.00956243252664,-6.083840335734738,control,16.27
"3404,-194",107.0410034674712,-6.083840335736533,control,19.2
"3392,-193",106.66371104814566,-6.052399300440055,control,16.77
"3393,-193",106.69515208308854,-6.052399300439616,control,13.75
"3394,-193",106.72659311803076,-6.052399300440055,control,11.03
"3395,-193",106.75803415297504,-6.052399300443924,control,8.86
"3396,-193",106.78947518791342,-6.052399300446895,control,7.74
"3397,-193",106.82091622286563,-6.05239930044574,control,7.69
"3398,-193",106.85235725780792,-6.052399300441392,control,8.01
"3399,-193",106.88379829275716,-6.052399300440573,control,8.9
"3400,-193",106.9152393276854,-6.052399300437607,control,10.9
"3401,-193",106.94668036264623,-6.052399300437288,control,13.53
"3402,-193",106.978121397582,-6.052399300439198,control,16.27
"3403,-193",107.00956243253088,-6.052399300436869,control,18.55
"3404,-193",107.04100346746384,-6.052399300438127,control,21.17
